@RELATION stuff

@ATTRIBUTE date string
@ATTRIBUTE airtemp numeric
@ATTRIBUTE windspeed numeric
@ATTRIBUTE windgust numeric
@ATTRIBUTE winddir numeric
@ATTRIBUTE precipitation numeric
@ATTRIBUTE visibility numeric
@ATTRIBUTE storm_status {S,R,T,N}
@ATTRIBUTE coach {H,R,M,A,C}
@ATTRIBUTE practice_status {OTW, CT}

@DATA
3/31/2015,3.1,3.5,4.0,096,0.00,10,N,A,OTW
4/1/2015,6.5,2.7,4.4,165,0.00,10,N,A,OTW
4/2/2015,14.3,5.4,5.8,309,0.26,8,N,A,OTW
4/6/2015,4.3,5.1,6.1,345,0.0,10,N,A,OTW
4/8/2015,2.8,6.3,7.2,003,0.10,3,N,A,CT
4/13/2015,16.9,5.6,6.9,292,0.13,10,N,A,OTW
4/14/2015,7.8,3.2,3.8,010,0.00,9,N,A,OTW
4/15/2015,7.5,7.9,8.6,031,0.00,10,N,A,OTW
4/16/2015,5.7,2.9,3.2,056,0.0,9,N,A,OTW
4/21/2015,10.9,17.1,24.5,264,0.0,10,N,A,CT
4/22/2015,5.4,9.2,11.5,278,0.0,10,N,A,OTW
4/23/2015,4.3,5.2,6.7,082,0.00,10,N,A,OTW
4/27/2015,5.0,4.7,5.6,007,0.00,10,N,A,OTW
4/28/2015,5.2,4.7,5.5,010,0.00,10,N,A,OTW
4/29/2015,7.2,3.7,4.0,343,0.00,10,N,A,OTW
4/30/2015,4.2,8.8,10.1,348,0.00,10,N,A,CT
5/4/2015,14.0,7.8,8.1,060,0.0,10,N,A,OTW
5/11/2015,18.7,12.6,16.7,200,0.33,7,R,A,CT
5/12/2015,11.0,10.3,13.5,278,0.0,10,N,A,OTW
5/13/2015,4.9,6.6,7.3,009,0.00,10,N,A,OTW
5/14/2015,11.4,7.8,8.6,108,0.18,10,N,A,OTW
9/22/2015,20.8,6.9,7.3,111,0.00,10,N,A,OTW
9/23/2015,19.7,4.6,5.0,041,0.00,10,N,A,OTW
9/24/2015,19.1,4.1,4.7,041,0.00,9,N,A,OTW
10/5/2015,13.9,2.7,3.4,039,0.00,9,N,C,OTW
10/6/2015,15.2,1.9,2.3,074,0.00,10,N,A,OTW
10/12/2015,20.5,7.6,9.2,215,0.00,10,N,C,OTW
10/13/2015,13.8,6.0,7.5,293,0.00,10,N,A,OTW
10/14/2015,12.2,2.8,3.2,112,0.00,10,N,A,OTW
10/15/2015,18.4,7.4,10.3,250,0.0,10,N,A,OTW
10/19/2015,20.4,17.2,21.0,206,0.00,10,N,C,CT
10/20/2015,19.0,1.3,1.9,054,0.10,10,R,A,OTW
10/21/2015,22.0,9.5,12.2,224,0.0,10,N,A,OTW
10/22/2015,12.3,5.4,6.2,006,0.00,10,N,A,OTW
10/26/2015,12.7,4.6,5.1,061,0.00,10,N,C,OTW
10/27/2015,13.5,13.3,15.6,096,0.29,9,R,A,CT
10/28/2015,12.0,11.1,18.1,244,0.33,6,N,A,OTW
10/29/2015,7.4,11.3,15.0,278,0.0,10,N,A,CT
11/2/2015,21.1,10.8,12.3,193,0.00,10,N,C,OTW
11/3/2015,16.5,6.4,7.0,128,0.00,7,N,A,OTW
11/4/2015,20.7,9.0,9.9,195,0.00,5,N,A,OTW
11/5/2015,19.2,11.2,13.6,190,0.0,9,N,A,OTW
11/10/2015,10.4,3.2,4.0,088,0.00,9,N,A,OTW
11/11/2015,14.7,9.3,11.3,158,0.30,9,N,A,OTW
11/12/2015,8.1,13.6,17.1,261,0.0,9,N,A,CT
11/16/2015,11.2,7.3,8.3,161,0.04,9,R,C,OTW
11/17/2015,12.9,12.7,16.6,149,0.60,8,R,A,CT
3/31/2016,16.7,10.9,12.0,279,0.21,9,T,A,CT
4/5/2016,2.2,6.0,6.4,090,0.06,10,N,A,OTW
4/6/2016,10.0,6.4,7.8,213,0.44,8,R,A,OTW
4/7/2016,2.8,10.9,11.3,358,0.02,10,N,C,CT
4/11/2016,8.2,8.2,9.4,307,0.00,9,N,C,OTW
4/12/2016,3.1,5.1,5.6,096,0.00,10,N,C,OTW
