Date,Month,Day,Year,Coach,Practice Status,Storm Status
3/31/15,3,31,2015,A,OTW,N
4/1/15,4,1,2015,A,OTW,N
4/2/15,4,2,2015,A,OTW,N
4/6/15,4,6,2015,A,OTW,N
4/8/15,4,8,2015,A,CT,N
4/13/15,4,13,2015,A,OTW,N
4/14/15,4,14,2015,A,OTW,N
4/15/15,4,15,2015,A,OTW,N
4/16/15,4,16,2015,A,OTW,N
4/21/15,4,21,2015,A,CT,N
4/22/15,4,22,2015,A,OTW,N
4/23/15,4,23,2015,A,OTW,N
4/27/15,4,27,2015,A,OTW,N
4/28/15,4,28,2015,A,OTW,N
4/29/15,4,29,2015,A,OTW,N
4/30/15,4,30,2015,A,CT,N
5/4/15,5,4,2015,A,OTW,N
5/11/15,5,11,2015,A,CT,R
5/12/15,5,12,2015,A,OTW,N
5/13/15,5,13,2015,A,OTW,N
5/14/15,5,14,2015,A,OTW,N
9/22/15,9,22,2015,A,OTW,N
9/23/15,9,23,2015,A,OTW,N
9/24/15,9,24,2015,A,OTW,N
10/5/15,10,5,2015,C,OTW,N
10/6/15,10,6,2015,A,OTW,N
10/12/15,10,12,2015,C,OTW,N
10/13/15,10,13,2015,A,OTW,N
10/14/15,10,14,2015,A,OTW,N
10/15/15,10,15,2015,A,OTW,N
10/19/15,10,19,2015,C,CT,N
10/20/15,10,20,2015,A,OTW,R
10/21/15,10,21,2015,A,OTW,N
10/22/15,10,22,2015,A,OTW,N
10/26/15,10,26,2015,C,OTW,N
10/27/15,10,27,2015,A,CT,R
10/28/15,10,28,2015,A,OTW,N
10/29/15,10,29,2015,A,CT,N
11/2/15,11,2,2015,C,OTW,N
11/3/15,11,3,2015,A,OTW,N
11/4/15,11,4,2015,A,OTW,N
11/5/15,11,5,2015,A,OTW,N
11/10/15,11,10,2015,A,OTW,N
11/11/15,11,11,2015,A,OTW,N
11/12/15,11,12,2015,A,CT,N
11/16/15,11,16,2015,C,OTW,R
11/17/15,11,17,2015,A,CT,R
3/31/16,3,31,2016,A,CT,T
4/5/16,4,5,2016,A,OTW,N
4/6/16,4,6,2016,A,OTW,R
4/7/16,4,7,2016,C,CT,N
4/11/16,4,11,2016,C,OTW,N
4/12/16,4,12,2016,C,OTW,N
4/13/16,4,13,2016,C,OTW,N
4/14/16,4,14,2016,C,OTW,N
4/18/16,4,18,2016,C,OTW,N
4/19/16,4,19,2016,C,OTW,N
4/21/16,4,21,2016,C,OTW,N
4/25/16,4,25,2016,C,OTW,N
4/26/16,4,26,2016,C,CT,N
4/27/16,4,27,2016,C,CT,R
4/28/16,4,28,2016,C,OTW,N
5/2/16,5,2,2016,C,OTW,N
5/3/16,5,3,2016,C,OTW,N
5/4/16,5,4,2016,C,CT,N
5/5/16,5,5,2016,C,OTW,N
5/6/16,5,6,2016,C,OTW,N
5/9/16,5,9,2016,C,OTW,N
5/10/16,5,10,2016,C,CT,R
5/11/16,5,11,2016,C,OTW,N
5/12/16,5,12,2016,C,OTW,N
5/19/16,5,19,2016,C,OTW,N
5/20/16,5,20,2016,C,OTW,N
